title,creation_date,date_acquired,cited_name,party_type
Junior High School,1950s,2002,"Sorber, Charles H.",
Junior High School,1950s,2002,"Hoone, Joseph W.",
"West Point Elementary School, Hempfield Area School District, Greensburgh (sic), PA",1956,2002,"Sorber, Charles H.",
"West Point Elementary School, Hempfield Area School District, Greensburgh (sic), PA",1956,2002,"Hoone, Joseph W.",
"Monzo-Proposed Shopping Plaza and Development, Latrobe, PA",1989,2002,"Lekawa, Robert",
"Monzo-Proposed Shopping Plaza and Development, Latrobe, PA",1989,2002,"Markulin, John",
"Frazier Middle-Senior High School, Perryopolis, PA",1989,2002,"Lekawa, Robert",
"Frazier Middle-Senior High School, Perryopolis, PA",1989,2002,"Hugus, Thomas",
"Bethlehem-Center Senior High School, Fredericktown, PA",1991,2002,"Lekawa, Robert",
"Bethlehem-Center Senior High School, Fredericktown, PA",1991,2002,"Markulin, John",
"Latrobe Elementary School, Latrobe, PA",1992,2002,"Lekawa, Robert",
"Latrobe Elementary School, Latrobe, PA",1992,2002,"Markulin, John",
"Burton Elementary School, Erie, PA",1989,2002,"Lekawa, Robert",
"Burton Elementary School, Erie, PA",1989,2002,"Markulin, John",
"Irving Elementary School, Erie, PA",1987,2002,"Lekawa, Robert",
"Irving Elementary School, Erie, PA",1987,2002,"Hugus, Thomas",
"Penn-Trafford Senior High School, Harrison City, PA",1970,2002,"Hoone, Joseph W.",
"Penn Middle School, Harrison City, PA",1986,2002,"Lekawa, Robert",
"Penn Middle School, Harrison City, PA",1986,2002,"Hugus, Thomas",
"McCullough Elementary School, Penn Township, PA",1978?,2002,"Sorber, Charles H.",
"McCullough Elementary School, Penn Township, PA",1978?,2002,"Hoone, Joseph W.",
"Somerset Area Senior High School, Somerset, PA",1951,2002,"Sorber, Charles H.",
"Somerset Area Senior High School, Somerset, PA",1951,2002,"Hoone, Joseph W.",
"Greensburg Country Club, Greensburg, PA",1950,2002,"Sorber, Charles H.",
"Greensburg Country Club, Greensburg, PA",1950,2002,"Hoone, Joseph W.",
"Penn-Trafford Senior High School, Harrison City, PA",1968,2002,"Hoone, Joseph W.",
Mystery Robots Rip off the Rain Forest,1989,2002,"Zucca, Edward",
Installation of the 1958 Carnegie International,1958,2002,"Hare, Clyde",
Harry Swank and John Walters, 1925,2002,"Swank, Luke",
Harry Swank and John Walters, 1925,2002,"Swank, Luke",
"House for S.P. Fergus, Esq.,  Washington, PA",1888,2002,"Osterling, Frederick J.",
Ewer, 1897,2002,"Ledru, Leon",
Bubble vase, 1935,2002,"Graffart, Charles",
Vase, 1915,2002,"Ledru, Leon",
"""Streamliner"" meat slicer",designed 1940,2002,"Arens, Egmont C.",
"""Streamliner"" meat slicer",designed 1940,2002,"Brookhart, Theodore",
"Abenteurer der Kannibalen Bioethicists [Adventure of the Savage Bioethicists],",2001,2002,"Chagoya, Enrique",
Woman-Head & Arms,1961,2002,"Diebenkorn, Richard",
Les Trois Soeurs (The Three Sisters),1938,2002,"Miró, Joan",
Harry Swank and John Walters, 1925,2002,"Swank, Luke",
"Installation of Abstract Painting and Sculpture in America, at Carnegie Museum",1983,2002,"Hare, Clyde",
Vase,1938,2002,"Graffart, Charles",
Sequence,1997,2002,"Amsel, Galia",
Grande Capsule de Coquelicot,1989,2003,"Bayle, Pierre",
Button Box,2000,2002,"Clegg, Tessa",
"""Murrine"" Boat",1998,2003,"de Santillana, Laura",
Foliage,2001,2002,"Edols, Benjamin",
Foliage,2001,2002,"Elliott, Kathy",
Untitled,2000,2003,"Groot, Mieke",
Blue + Red Spin,1997,2002,"Baldwin, Philip",
Blue + Red Spin,1997,2002,"Guggisberg, Monica",
Sphere (Earth),2000,2002,"Hora, Petr",
Fantasy Vessel - Bade dei Wein,October 1977,2003,"Huchthausen, David",
Pair,2000,2003,"Holler, Franz X.",
Untitled, 1986,2002,"Myers, Joel P.",
Boxed 1,1998,2003,"Romanelli, Bruno",
Sun Star,1998,2002,"Sabokova, Gizela",
Beginning to Breathe,1999,2003,"Schwieder, Paul",
Initio Silenzio,2000,2002,"Hees, Carl van",
Joseph Z (grandfather),1998,2003,"Zamecnikova, Dana",
Working Proof for 5108 FEX series,1963,2002,"McLaughlin, John",
Diptych III,1967,2002,"Artschwager, Richard",
Blindfold,2002,2002,"Sala, Anri",
"The Malecon, Havana 1",2002,2002,"Snyder, Jill",
"The Malecon, Havana 2",2002,2002,"Snyder, Jill",
"The Malecon, Havana 3",2002,2002,"Snyder, Jill",
Jug,1878,2002,"Dee, Henry W.",
Jug,1878,2002,"Kouzan, Numata",
Teapot Goblet,1989,2002,"Marquis, Richard",
Armchair, 1902,2002,"Vollmer, Hans",
Champagne glass,1902,2003,"Behrens, Peter",
Sherry or port glass,1902,2003,"Behrens, Peter",
Liqueur glass,1902,2003,"Behrens, Peter",
Water glass,1902,2003,"Behrens, Peter",
Dinner plate,1903-1904,2003,"Velde, Henry van de",
Large serving plate,1903-1904,2003,"Velde, Henry van de",
Cup and Saucer,1903-1904,2003,"Velde, Henry van de",
Dish, 1950,2002,"Hamada, Shoji",
Dish, 1950,2002,"Hamada, Shoji",
"Dr. Washington Epps, My Doctor",1885,2002,"Alma-Tadema, Lawrence",
Study for Steamboat on the Ohio, 1896,2002,"Anshutz, Thomas Pollock",
Elephant,1924,2002,"Leck, Bart Antony van der",
Small Black Woodcut (Petit bois noir),1906,2002,"Matisse, Henri",
Red Gate of Tokyo University in Early Summer,1929,1989,Fujimori Shizuo,
Red Gate of Tokyo University in Early Summer,5/18/1929,1989,Fujimori Shizuo,
Red Gate of Tokyo University in Early Summer,5/18/1929,1989,Nakajima Jûtarô of Sôsaku-Hanga Club,
Central Meteorological Observatory,7/30/1929,1989,Fujimori Shizuo,
Central Meteorological Observatory,7/30/1929,1989,Nakajima Jûtarô of Sôsaku-Hanga Club,
Central Meteorological Observatory,1929,1989,Fujimori Shizuo,
Central Meteorological Observatory,1929,1989,Nakajima Jûtarô of Sôsaku-Hanga Club,
A Large Castle Overlooking a Winding Valley with Two Towers,1553,2002,"Lautensack, Hanns",
Alexander the Great Taming Bucephalus, 1550,2002,Master L. D.,
Alexander the Great Taming Bucephalus, 1550,2002,"Primaticcio, Frencesco",
" Lucy's House, Mason's Bend, AL; elevation and floor plan",2001,2002,"Mockbee, Samuel",
"Lucy's House, Mason's Bend, AL; elevations, plans and sections",2001,2002,"Mockbee, Samuel",
"Lucy's House, Mason's Bend, AL; elevation, section and floor plan",2001,2002,"Mockbee, Samuel",
" Lucy's House, Mason's Bend, AL; elevations, plan, section, and perspective",2001,2002,"Mockbee, Samuel",
"Lucy's House, Mason's Bend, AL: Lucy and her daughter in their old dwelling",2001,2002,"Mockbee, Samuel",
Coppery Tentacled Sea Creature from the Narcissus Series,1998,2002,"Clipsham, Jacqueline",
Liverpool chair,1986,2002,"Sowden, George",
Kevin,1976,1994,"Paschke, Ed",
Family Picnic,1941,2008,"Pearlstein, Philip",
Umbria #1,1959,2008,"Pearlstein, Philip",
"Lieutenant-General Sir Herbert Taylor, G.C.B. (1775-1839)",begun before 1806,2008,"Lawrence, Thomas",
"Hero, Ursula, and Beatrice in Leonato's Garden (act 3, scene 1 from Much Ado About Nothing)",1788-1789,2003,"Peters, Reverend Matthew William",
"Portfolio cover for the series ""Woodpecker Prints Collection(Kitsutsuki hangashu)"" Collection of Prints by the Kitsutsuki Group",1943,1989,Nakagawa Yûtaro,
Album,1979,1979,"Jones, Allen",
Album,1979,1979,"Jones, Allen",
Album,1979,1979,"Jones, Allen",
Album,1979,1979,"Jones, Allen",
Album,1979,1979,"Jones, Allen",
Album,1979,1979,"Jones, Allen",
Album,1979,1979,"Jones, Allen",
Marriage Cup,1760,1934,"Steinfort, Johan",
Deux Tetes,1959,2003,"Appel, Karel",
Devil Angel,1988,2013,"Ruscha, Edward",
Untitled,1973,2003,Cufone,
Art,2002,2003,"Rauch, Neo",
The Garden of Adonis - Amoretta and Time,1887,2003,"Batten, John D.",
"Courtyard of House for Margarete Hubbe, Magdeburg, Germany",1935,2003,"Mies van der Rohe, Ludwig",
Swing Set,2003,2003,"Holstad, Christian",
Sleep Walker,2003,2003,"Holstad, Christian",
Round Up,2003,2003,"Holstad, Christian",
New Trial Eyes,2003,2003,"Holstad, Christian",
An Inner Dialogue with Frida Kahlo (Gift2),2001,2003,"Morimura, Yasumasa",
Untitled (Web 4),2002,2003,"Celmins, Vija",
Portrait of John Caldwell,1993,2003,"Hafftka, Michael",
Teete,2003,2003,"Abts, Tomma",
Self-Portrait as an Old Man,1993,2003,"Althamer, Paweł",
The Lucky Ones,2002,2003,"Borremans, Michaël",
Study for Driftwood,2003,2003,"Doig, Peter",
Half Empty/Half Full,2002,2003,Koichiro Yamamoto,
Silex vase, 1905,2003,"Serrurier-Bovy, Gustave",
Bon Coin,1928-1929,2003,"Davis, Stuart",
Schwarzer Kreis (Black Circle),1933,2003,"Albers, Josef",
"""Confirmation"" note with envelope",1965,2003,"Byars, James L.",
"""Thank You"" note with envelope",1965,2003,"Byars, James L.",
Photograph of installation of hand-blown and mirrored glass vessels,2002,2003,"Prekop, Martin",
"Platter, ""Zodiac""",manufactured 1934-1961,2003,"Guild, Lurelle",
Homage to the Square: Wide Light,1962,1980,"Albers, Josef",
Homage to the Square: Thaw,1962,1980,"Albers, Josef",
Homage to the Square: Tenuous,1962,1980,"Albers, Josef",
Homage to the Square: Equivocal,1962,1980,"Albers, Josef",
Homage to the Square: Patina,1962,1980,"Albers, Josef",
Homage to the Square: Full,1962,1980,"Albers, Josef",
Homage to the Square: Shielded,1962,1980,"Albers, Josef",
Homage to the Square: Aura,1962,1980,"Albers, Josef",
Homage to the Square: Reserved,1962,1980,"Albers, Josef",
Homage to the Square: Joy,1962,1980,"Albers, Josef",
Platter,1960,1995,"Voulkos, Peter",
Platter, 1988,2003,"Kaneko, Jun",
Bowl,late 1980s,2003,"Price, Ken",
Bowl,late 1980s,2003,"Price, Ken",
Screen,1993,2004,"Campana, Fernando",
Screen,1993,2004,"Campana, Humberto",
Travels on the Tokaido Road on Shank's Mare (Tokaido-chu hizakurige),1845,1989,Ikku Jippensha,
Travels on the Tokaido Road on Shank's Mare (Tokaido-chu hizakurige),1845,1989,Ikeda Eisen,
Tales of Ise (Ise monogatari),1715,1989,Shibukawa (Seiemon),
Tales of Ise (Ise monogatari),1715,1989,Yasui (Kahei),
One Hundred Poets - Their Pictures and Histories (Hyakunin isshu-zo sancho),1678,1989,Moronobu Hishikawa,
Dessan Magazine.  Rough Sketches (Sobyo),January 1926-June 1927,1989,Asahi Masahide,
Stage Actors Illustrated in Fan Borders (Ehon butai ogi),1915-1916,1989,Kubota  Beisen,
Views of the Banks of the Sumida River (Ehon Sumidagawa ryogan ichiran),1915-1918,1989,Kubota  Beisen,
Landscapes of Japan (Nihon no sansui),1946,1989,Maekawa Senpan,
Landscapes of Japan (Nihon no sansui),1946,1989,Yamaguchi Susumu,
Landscapes of Japan (Nihon no sansui),1946,1989,Azechi Umetaro,
Landscapes of Japan (Nihon no sansui),1946,1989,Fugaku Honsha,
Bookplate Collection (Zoshu hyo), 1949-1950,1989,Maekawa Senpan,
Untitled card books,1943-1953,1989,Maekawa Senpan,
Calendar for 1976,1975-1976,1989,"Moore, Keiko Hiratsuka",
Illustrated Book of Chapter 25 of the Lotus Sutra,1670,1989,"Urukugataya, Edo",
The House I Once Called Home,2002,2003,"Michals, Duane",
Christ in New York,1981,2003,"Michals, Duane",
Alice's Mirror,1974,2003,"Michals, Duane",
A Man Going to Heaven,1967,2003,"Michals, Duane",
Three Views of Truffaut,1981,2003,"Michals, Duane",
Ludmilla Tchérina,1964,2003,"Michals, Duane",
Willem de Kooning,1985,2003,"Michals, Duane",
Untitled (Nets),2002,2003,"Whiteread, Rachel",
"Historical Renaissance, Mirrored and Reflected (Undecorated)",2003,2003,"McElheny, Josiah",
Lickety,2002,2003,"Butterly, Kathy",
Trip,2002,2003,"Butterly, Kathy",
Untitled 3,2002,2003,Chun Liao,
"Untitled, January 20, 1990",1990,2003,"Richter, Gerhard",
(no title) from the September Suite,1977,2003,"Buckley, Stephen",
(Untitled),1981,2003,"Hoyland, John",
Tall case clock, 1790,2003,"Hoff, George",
Self Portrait, 1938,2003,"Munhall, Walter",
Self Portrait, 1938,2003,"Munhall, Walter",
Portrait of Anna Burns Munhall, 1938,2003,"Munhall, Walter",
"Anna Burns Munhall and dog, Virginia Beach",1939,2003,"Munhall, Walter",
"Self portrait with sons Edgar, left and Walter Jr., right", 1938-1941,2003,"Munhall, Walter",
"Mrs. Munhall with sons Edgar, left, and Walter Jr., right", 1938-1941,2003,"Munhall, Walter",
Mrs. Munhall and sons in a field, 1938-1941,2003,"Munhall, Walter",
Walter Munhall Jr. holding camera,"May 31, 1938",2003,"Munhall, Walter",
Walter Munhall Jr. in cowboy costume pointing toy gun, 1938-1941,2003,"Munhall, Walter",
"Walter Munhall, Jr. with geometric necktie, outdoors on Sylvan Avenue, Hazelwood", 1938-1941,2003,"Munhall, Walter",
"Walter Munhall, Jr. in double-breasted jacket", 1938-1941,2003,"Munhall, Walter",
"Walter Munhall, Jr. playing with a dog",1939,2003,"Munhall, Walter",
"Walter Munhall, Jr. offering stick to a dog",1939,2003,"Munhall, Walter",
"Walter Munhall, Jr. playing in the sand, Virginia Beach",1939,2003,"Munhall, Walter",
"Walter Munhall, Jr. close up", 1938-1941,2003,"Munhall, Walter",
Edgar Munhall in a sailor shirt with floral background, 1938-1941,2003,"Munhall, Walter",
Edgar Munhall in striped sweater, 1938-1941,2003,"Munhall, Walter",
Edgar Munhall in sailor shirt and sunglasses, 1938-1941,2003,"Munhall, Walter",
"Edgar Munhall in pajama top, looking up", 1938-1941,2003,"Munhall, Walter",
"Homage to Manet's Olympia: Edgar Munhall nude, with shoes and socks", 1938-1941,2003,"Munhall, Walter",
Close up of #20, 1938-1941,2003,"Munhall, Walter",
Edgar Munhall in pajama in his bedroom, 1938-1941,2003,"Munhall, Walter",
Edgar Munhall drawing, 1938-1941,2003,"Munhall, Walter",
"Edgar Munhall astride a bannister, Sylvan Avenue, Hazelwood", 1938-1941,2003,"Munhall, Walter",
Edgar Munhall in cowboy costume, 1938-1941,2003,"Munhall, Walter",
Edgar Munhall in zippered jacket, 1938-1941,2003,"Munhall, Walter",
"Walter, Jr. (left) and Edgar Munhall bathing, Virginia Beach",1939,2003,"Munhall, Walter",
"Walter, Jr. and Edgar Munhall on a lawn",1938,2003,"Munhall, Walter",
"Walter, Jr. (left) and Edgar Munhall, Kennywood Park",1938,2003,"Munhall, Walter",
"Walter, Jr. (left) and Edgar Munhall, Kennywood Park",1938,2003,"Munhall, Walter",
"Ennui: Walter, Jr. (left) and Edgar Munhall on a running board, Sylvan Avenue, Hazelwood", 1938-1941,2003,"Munhall, Walter",
"Edgar Munhall (front, right) and Walter, Jr. (back, right) and friends in a swan boat, Kennywood Park","May 28, 1938",2003,"Munhall, Walter",
"Edgar Munhall (center) and friends, Kennywood Park","May 28, 1938",2003,"Munhall, Walter",
"Looking south from Sylvan Avenue, Hazelwood, the coke plant at lower right", 1938-1941,2003,"Munhall, Walter",
The South Hills seen from the Bluff, 1938-1941,2003,"Munhall, Walter",
"View over the Monongahela from Mt. Washington, the Cathedral of Learning on the horizon", 1938-1941,2003,"Munhall, Walter",
Downtown Pittsburgh from the South Side ?, 1938-1941,2003,"Munhall, Walter",
"Downtown Pittsburgh, from Mt. Washington, P&LERR Terminal, lower right", 1938-1941,2003,"Munhall, Walter",
View of the Point from Mount Washington, 1938-1941,2003,"Munhall, Walter",
"Downtown Pittsburgh, Sherwyn Hotel in mid-distance", 1938-1941,2003,"Munhall, Walter",
"Downtown and the Point, looking towards the North Side, from Mount Washington", 1938-1941,2003,"Munhall, Walter",
Cathedral of Learning, 1938-1941,2003,"Munhall, Walter",
"Jones & Laughlin plant, along Second Avenue, from Sylvan Avenue, Hazelwood", 1938-1941,2003,"Munhall, Walter",
Construction workers riveting a truss, 1938-1941,2003,"Munhall, Walter",
Section #1,1999,2003,"Bettison, Giles",
Cube,,2003,"Elias, Bohumil",
Rubin,2002,2003,"Cribbs, KeKe",
Tall Chief Bluff #43191,1991,2003,"Kallenberger, Kreg",
Zebra Night,1987,2003,"Kuhn, Jon",
Vase,1978,2003,"Labino, Dominick",
Apex,2001,2003,"Ladd, Tracey",
Reticello Vase,2001,2003,"Marioni, Dante",
Palla Set,1994,2003,"Moore, Benjamin",
Solarized Blue Green Echo with Grid,1988-1991,2003,"Patti, Thomas",
Gurunsi (Africa Series),2001,2003,"Salvadore, Davide",
Poplar Tree,1995,2003,"Scanga, Italo",
Borneo,1994,2003,"Tagliapietra, Lino",
Body & Soul,2001,2003,"Murray, Elizabeth",
"The Honen Temple in Snow , Kyoto (Yuki no Hônenin, Kyôto)",1968,2003,Saitô Kiyoshi,
"The Muroji Temple in Snow, Nara (Yuki no Murôji, Nara)",1968,2003,Saitô Kiyoshi,
Rainy Day (Ame no hi B),1968,2003,Asano Takeji,
Easy Edges Rocker,1973,2003,"Gehry, Frank",
Untitled,1980,1988,"Gerzso, Gunther",
A Good Vintage,1997,2003,"Brock, Emily",
Carnival on the Grand Canal,1995,2003,"Bubacco, Lucio",
October #54,,2003,"Farbanish, Tom",
Lace Cage Series #2,,2003,"Nishi, Etsuko",
Dusk,,2003,"Perkins, Danny",
Can't Keep me in a Box,,2003,"Spencer, Jeffrey",
Amphora,1980-2003,2003,"Toffolo, Cesare",
Flower pot,1754,1988,"Armand l'aîné, Louis-Denis",
Flower pot,1754,1988,"Armand l'aîné, Louis-Denis",
